EVENT TYPE,TIMESTAMP,DURATION,SESSION ID,TRANSACTION ID,DATASTORE,CONTEXT,SUBSYSTEM,PHASE,SERVICE,SERVICE PHASE,COMMIT QUEUE ID,NODE,DEVICE,DEVICE PHASE,PACKAGE,MESSAGE,ANNOTATION
start,2024-02-03T12:32:31.721,,41,49,running,cli,,,,,,,,,,"applying transaction",
start,2024-02-03T12:32:31.721,,41,49,running,cli,,validate,,,,,,,,"validate",
start,2024-02-03T12:32:31.721,,41,49,running,cli,,,,,,,,,,"grabbing transaction lock",
stop,2024-02-03T12:32:31.721,0.000,41,49,running,cli,,,,,,,,,,"grabbing transaction lock",
start,2024-02-03T12:32:31.722,,41,49,running,cli,,,,,,,,,,"creating rollback file",
stop,2024-02-03T12:32:31.725,0.002,41,49,running,cli,,,,,,,,,,"creating rollback file",
start,2024-02-03T12:32:31.725,,41,49,running,cli,,,,,,,,,,"run transforms and transaction hooks",
stop,2024-02-03T12:32:31.725,0.000,41,49,running,cli,,,,,,,,,,"run transforms and transaction hooks",
start,2024-02-03T12:32:31.726,,41,49,running,cli,,,,,,,,,,"mark inactive",
stop,2024-02-03T12:32:31.726,0.000,41,49,running,cli,,,,,,,,,,"mark inactive",
start,2024-02-03T12:32:31.726,,41,49,running,cli,,,,,,,,,,"pre validate",
stop,2024-02-03T12:32:31.726,0.000,41,49,running,cli,,,,,,,,,,"pre validate",
start,2024-02-03T12:32:31.726,,41,49,running,cli,,,,,,,,,,"run validation over the changeset",
stop,2024-02-03T12:32:31.726,0.000,41,49,running,cli,,,,,,,,,,"run validation over the changeset",
start,2024-02-03T12:32:31.726,,41,49,running,cli,,,,,,,,,,"run dependency-triggered validation",
stop,2024-02-03T12:32:31.727,0.000,41,49,running,cli,,,,,,,,,,"run dependency-triggered validation",
start,2024-02-03T12:32:31.727,,41,49,running,cli,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:32:31.727,0.000,41,49,running,cli,,,,,,,,,,"check configuration policies",
stop,2024-02-03T12:32:31.727,0.006,41,49,running,cli,,validate,,,,,,,,"validate",
start,2024-02-03T12:32:31.727,,41,49,running,cli,,write-start,,,,,,,,"write-start",
info,2024-02-03T12:32:31.727,,41,49,running,cli,cdb,write-start,,,,,,,,"write-start",
info,2024-02-03T12:32:31.727,,41,49,running,cli,ncs-internal-service-mux,write-start,,,,,,,,"write-start",
start,2024-02-03T12:32:31.728,,41,49,running,cli,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:32:31.728,0.000,41,49,running,cli,,,,,,,,,,"check data kickers",
stop,2024-02-03T12:32:31.728,0.001,41,49,running,cli,,write-start,,,,,,,,"write-start",
start,2024-02-03T12:32:31.728,,41,49,running,cli,,prepare,,,,,,,,"prepare",
info,2024-02-03T12:32:31.728,,41,49,running,cli,cdb,prepare,,,,,,,,"prepare",
info,2024-02-03T12:32:31.728,,41,49,running,cli,ncs-internal-device-mgr,prepare,,,,,,,,"prepare",
stop,2024-02-03T12:32:31.730,0.002,41,49,running,cli,,prepare,,,,,,,,"prepare",
start,2024-02-03T12:32:31.730,,41,49,running,cli,,commit,,,,,,,,"commit",
info,2024-02-03T12:32:31.730,,41,49,running,cli,cdb,commit,,,,,,,,"commit",
info,2024-02-03T12:32:31.731,,41,49,running,cli,ncs-internal-device-mgr,commit,,,,,,,,"commit",
info,2024-02-03T12:32:31.732,,41,49,running,cli,,,,,,,,,,"releasing transaction lock",
stop,2024-02-03T12:32:31.733,0.002,41,49,running,cli,,commit,,,,,,,,"commit",
stop,2024-02-03T12:32:31.733,0.012,41,49,running,cli,,,,,,,,,,"applying transaction",
